zone_id,gid,tract,area,acres
1442,525,126100.0,5272042.0,121.028999329
1434,508,114100.0,7820341.5,179.529998779
246,784,605000.0,4247867.5,97.5179977417
1312,560,201800.0,759732480.0,17441.0585938
705,1205,512507.0,27835386.0,639.013000488
1291,552,201002.0,75353152.0,1729.86999512
875,1448,,6510720.0,149.466003418
1087,435,356002.0,112120136.0,2573.92407227
1316,561,201900.0,181741088.0,4172.20117188
26,577,11800.0,55254.734375,1.26800000668
1416,534,132200.0,301129056.0,6912.97216797
1415,535,133000.0,512183328.0,11758.1113281
1308,553,201100.0,154557200.0,3548.14501953
1309,554,201200.0,59578268.0,1367.72900391
1097,350,315000.0,40394580.0,927.331970215
1091,353,318000.0,12166516.0,279.304992676
1336,1300,150605.0,14691341.0,337.266998291
1438,519,121200.0,6999726.5,160.692001343
1399,1369,153902.0,3339934.5,76.6740036011
1398,1370,153903.0,3227514.5,74.09400177
100,626,20900.0,324950.625,7.46000003815
401,1019,504601.0,19464064.0,446.833007812
653,956,503319.0,18853400.0,432.815002441
1396,1366,153802.0,62331936.0,1430.94396973
820,197,435101.0,58774604.0,1349.27905273
810,220,437100.0,49097476.0,1127.12304688
730,288,450100.0,11463511.0,263.165985107
729,302,450721.0,29327274.0,673.262023926
404,1412,,40213376.0,923.17199707
745,305,450742.0,8008750.5,183.856002808
720,309,451202.0,46185204.0,1060.26599121
1177,326,304000.0,176128368.0,4043.35107422
1189,327,305000.0,9432770.0,216.54699707
1247,1247,252202.0,54008092.0,1239.85498047
1251,1263,252702.0,235334624.0,5402.54003906
1248,1246,252201.0,93845632.0,2154.39892578
119,644,22902.0,161618.6875,3.71000003815
1279,1272,252904.0,56045732.0,1286.63305664
1439,520,122000.0,105536.421875,2.42300009727
1447,521,123000.0,1385483.0,31.8059997559
1445,522,124100.0,5966035.5,136.960998535
21,1392,,318878.6875,7.32000017166
1446,523,124200.0,10435756.0,239.572006226
180,706,35202.0,377143.71875,8.65799999237
1341,1317,151309.0,35961196.0,825.556030273
1367,1339,152701.0,23673216.0,543.461975098
736,294,450602.0,6195004.0,142.218002319
715,306,451101.0,558066688.0,12811.4492188
99,627,21000.0,294887.6875,6.76999998093
307,835,609500.0,2047568.0,47.0060005188
301,858,611100.0,3299908.75,75.7549972534
171,687,30600.0,538420.4375,12.3599996567
212,756,602300.0,9903767.0,227.35899353
252,790,605600.0,8596607.0,197.350997925
225,765,603200.0,4458366.0,102.349998474
226,766,603300.0,8079994.5,185.490997314
1353,1325,151600.0,88035832.0,2021.02502441
1358,1326,151700.0,5441653.5,124.922996521
1389,1375,154302.0,138341504.0,3175.8840332
1381,1354,153300.0,32846182.0,754.04498291
72,597,15300.0,238085.671875,5.46600008011
77,603,15900.0,278671.625,6.39699983597
1270,1252,252309.0,34852400.0,800.101013184
1286,1271,252903.0,228538240.0,5246.51611328
661,1189,512033.0,4022312.0,92.3399963379
658,1191,512035.0,2185036.25,50.1619987488
697,1192,512100.0,79133896.0,1816.66394043
712,1200,512401.0,41182136.0,945.411987305
713,1201,512402.0,51068344.0,1172.36804199
1165,409,346201.0,16334099.0,374.979003906
556,892,500902.0,245545.53125,5.63700008392
704,1193,512200.0,264293424.0,6067.34179688
700,1194,512304.0,10930748.0,250.934997559
2,1377,,125828.75,2.88899993896
1330,1306,150902.0,2440101.25,56.016998291
1329,1307,151000.0,15634215.0,358.911987305
176,681,30201.0,369848.84375,8.49100017548
1311,556,201400.0,372813408.0,8558.61816406
1315,557,201500.0,134163640.0,3079.97290039
78,605,16100.0,369052.125,8.47200012207
1366,1335,152400.0,21112616.0,484.678985596
65,710,40200.0,552043.625,12.6730003357
1354,1338,152600.0,123115384.0,2826.34008789
1397,1368,153901.0,65855108.0,1511.82495117
115,641,22802.0,300828.84375,6.90600013733
347,1400,,134913392.0,3097.18505859
968,30,403000.0,335778.90625,7.70800018311
932,59,405800.0,516924.25,11.8669996262
1142,395,343003.0,5902636.0,135.505996704
1400,1371,154000.0,225099936.0,5167.58398438
1077,445,361000.0,15780983.0,362.282012939
885,83,408100.0,8657645.0,198.751998901
821,198,435102.0,4326728.0,99.3280029297
844,165,430100.0,106731424.0,2450.21606445
1125,359,321103.0,5225377.0,119.958000183
1176,426,355104.0,299986944.0,6886.75195312
1069,450,365001.0,12627087.0,289.877990723
416,1422,,3368754.0,77.3359985352
1454,533,132100.0,42530976.0,976.37701416
