,SERIALNO,PUMA,WGTP,NP,VEH,FINCP
0,1544,2100,22,2,4,105000
1,3705,2100,190,9,6,14500
2,3960,2100,68,2,1,9100
3,5664,2100,300,0,0,0
4,9746,2100,0,1,0,0
5,11119,2100,119,2,3,135000
6,13619,2100,106,2,2,21000
7,15489,2100,63,2,2,95200
8,15583,2100,13,2,2,86700
9,16265,2100,23,3,3,111100
10,17400,2100,95,1,1,376000
11,18713,2100,275,2,1,17200
12,20200,2100,38,2,3,72850
13,21692,2100,15,2,2,60000
14,22485,2100,22,4,2,73000
15,23510,2100,24,1,2,6400
16,24920,2100,84,1,6,202000
17,27600,2100,106,2,2,109000
18,27674,2100,84,2,3,248400
19,28752,2100,105,2,3,88700
20,29858,2100,0,1,0,0
21,29917,2100,99,1,1,37000
22,30428,2100,108,1,1,50200
23,33253,2100,61,1,2,39400
24,33684,2100,68,1,1,73900
25,37441,2100,48,4,0,14000
26,39253,2100,213,4,2,22000
27,39846,2100,0,1,0,0
28,41528,2100,79,3,2,76500
29,41617,2100,78,1,1,16500
30,44028,2100,81,1,1,16600
31,44048,2100,24,6,2,78400
32,44684,2100,15,1,1,48200
33,44769,2100,109,2,2,159600
34,45608,2100,68,1,1,109700
35,48058,2100,77,3,3,50001
36,49324,2100,90,1,0,11800
37,50567,2100,25,2,2,60200
38,53797,2100,22,3,3,90000
39,53878,2100,24,2,2,98030
40,55033,2100,0,1,0,0
41,58144,2100,82,2,2,75200
42,58288,2100,79,1,2,20000
43,58605,2100,43,1,0,0
44,63186,2100,62,2,2,0
45,64678,2100,19,2,3,136100
46,69357,2100,90,1,1,24000
47,70554,2100,23,2,2,23100
48,71189,2100,74,4,2,90000
49,71373,2100,0,1,0,0
50,71780,2100,119,2,2,61300
51,71943,2100,114,1,1,113000
52,72131,2100,0,1,0,0
53,75198,2100,23,2,3,56500
54,75688,2100,223,1,0,8300
55,76474,2100,106,2,2,218000
56,78737,2100,0,1,0,0
57,79098,2100,300,3,2,57400
58,82162,2100,275,0,0,0
59,82187,2100,62,2,2,54000
60,85413,2100,97,2,1,66500
61,85698,2100,77,2,1,80900
62,88273,2100,0,1,0,0
63,88582,2100,115,2,1,43000
64,88815,2100,45,3,2,61400
65,88891,2100,102,6,2,105000
66,90180,2100,16,1,2,26400
67,90730,2100,73,3,4,80000
68,91412,2100,81,1,1,42000
69,91791,2100,27,6,3,161000
70,95768,2100,61,1,1,19000
71,98721,2100,67,1,1,27600
72,100774,2100,109,3,3,77000
73,101405,2100,0,1,0,0
74,101444,2100,0,1,0,0
75,101912,2100,103,2,2,22050
76,102416,2100,0,1,0,0
77,103936,2100,29,1,1,41000
78,105781,2100,27,1,1,28000
79,105896,2100,127,2,2,58970
80,106598,2100,13,2,2,41600
81,110107,2100,59,4,1,180000
82,111366,2100,21,4,2,54540
83,113459,2100,119,1,1,46000
84,114887,2100,96,1,1,50000
85,115094,2100,190,0,0,0
86,115416,2100,312,1,1,30000
87,117149,2100,0,1,0,0
88,118879,2100,23,1,2,41100
89,122186,2100,84,3,3,149500
90,122836,2100,96,2,2,164600
91,123330,2100,0,1,0,0
92,124188,2100,38,2,1,50090
93,126490,2100,81,2,1,141800
94,126717,2100,73,5,4,75500
95,127636,2100,127,2,2,12400
96,129622,2100,212,1,0,0
97,132164,2100,0,1,0,0
98,132389,2100,79,2,2,47780
99,132569,2100,174,2,0,1200
100,134449,2100,84,1,0,840
101,135155,2100,37,2,3,25000
102,135392,2100,158,2,2,2650
103,135536,2100,60,2,2,30000
104,136370,2100,65,3,2,39350
105,138674,2100,249,2,1,50000
106,139217,2100,101,4,3,161100
107,139676,2100,72,2,3,111500
108,140372,2100,78,3,2,56400
109,140487,2100,132,2,2,109000
110,141161,2100,69,2,1,67200
