"","SERIALNO","PUMA","PWGTP","AGEP","SEX","WAGP"
0,1544,2100,21,67,2,35000
1,1544,2100,21,63,1,28000
2,3705,2100,189,20,1,2500
3,3705,2100,197,22,1,12000
4,3705,2100,195,22,1,0
5,3705,2100,197,22,1,0
6,3705,2100,197,22,1,0
7,3705,2100,195,22,1,0
8,3705,2100,197,21,1,0
9,3705,2100,195,21,1,0
10,3705,2100,197,21,1,0
11,3960,2100,68,37,1,0
12,3960,2100,72,37,1,1500
13,9746,2100,111,18,1,950
14,11119,2100,119,29,2,95000
15,11119,2100,95,36,1,40000
16,13619,2100,106,23,1,10000
17,13619,2100,89,23,2,11000
18,15489,2100,64,78,1,0
19,15489,2100,62,77,2,0
20,15583,2100,14,71,1,0
21,15583,2100,14,72,2,0
22,16265,2100,24,32,1,48100
23,16265,2100,24,28,2,63000
24,16265,2100,23,1,1,0
25,17400,2100,95,49,1,376000
26,18713,2100,275,65,1,0
27,18713,2100,243,59,2,0
28,20200,2100,39,56,1,50000
29,20200,2100,45,57,2,0
30,21692,2100,15,75,1,0
31,21692,2100,15,68,2,40000
32,22485,2100,21,41,1,33000
33,22485,2100,21,40,2,40000
34,22485,2100,22,10,1,0
35,22485,2100,23,5,1,0
36,23510,2100,24,61,1,0
37,24920,2100,84,70,1,0
38,27600,2100,105,58,2,90000
39,27600,2100,108,61,1,0
40,27674,2100,84,48,1,60000
41,27674,2100,74,48,2,12400
42,28752,2100,105,57,1,0
43,28752,2100,126,54,2,5500
44,29858,2100,213,19,2,800
45,29917,2100,99,40,1,25000
46,30428,2100,109,53,1,50000
47,33253,2100,62,81,1,0
48,33684,2100,67,87,1,40000
49,37441,2100,47,30,1,12000
50,37441,2100,50,23,2,2000
51,37441,2100,103,2,2,0
52,37441,2100,101,0,1,0
53,39253,2100,213,37,1,11000
54,39253,2100,390,28,2,11000
55,39253,2100,201,11,1,0
56,39253,2100,200,6,1,0
57,39846,2100,110,19,2,1800
58,41528,2100,79,30,2,44000
59,41528,2100,99,2,1,0
60,41528,2100,102,26,2,32500
61,41617,2100,78,22,2,16500
62,44028,2100,82,32,2,16600
63,44048,2100,24,33,1,78000
64,44048,2100,19,32,2,100
65,44048,2100,24,7,1,0
66,44048,2100,24,6,1,0
67,44048,2100,25,2,1,0
68,44048,2100,26,0,2,0
69,44684,2100,15,73,2,0
70,44769,2100,109,59,2,150000
71,44769,2100,99,48,2,0
72,45608,2100,67,63,2,0
73,48058,2100,76,57,2,1500
74,48058,2100,79,56,1,35000
