tract,serial_number,repeat_index,num_people,household_income,num_vehicles
200,3474,0,1,<=0,1
200,5235,0,3,100000+,2
200,5235,1,3,80000-90000,2
200,9650,0,3,100000+,3
200,11823,0,4+,100000+,1
200,12471,0,2,30000-40000,1
200,13236,0,3,<=0,2
200,14113,0,1,<=0,1
200,15838,0,2,100000+,1
200,17212,0,1,<=0,1
200,17569,0,1,<=0,1
200,17569,1,1,<=0,1
200,17569,2,1,<=0,0
200,19392,0,3,100000+,6
200,19641,0,1,<=0,2
200,19727,0,1,<=0,2
200,19727,1,1,<=0,0
200,21395,0,3,<=0,6
200,25419,0,4+,70000-80000,4
200,25494,0,2,60000-70000,2
200,34086,0,2,<=0,3
200,34548,0,1,<=0,1
200,37783,0,4+,10000-20000,2
200,55887,0,3,100000+,3
200,58854,0,1,<=0,1
200,60246,0,1,<=0,1
200,68055,0,1,<=0,0
200,69334,0,1,<=0,1
200,74086,0,2,20000-30000,2
200,89938,0,2,20000-30000,1
200,94192,0,3,40000-50000,1
200,100720,0,2,100000+,3
200,101072,0,3,100000+,3
200,106850,0,1,<=0,1
200,106850,1,1,<=0,1
200,108570,0,1,<=0,1
200,108713,0,1,<=0,2
200,108713,1,1,<=0,1
200,108713,2,1,<=0,1
200,108713,3,1,<=0,1
200,111438,0,3,30000-40000,2
200,114403,0,2,<=0,1
200,117418,0,1,<=0,1
200,119550,0,4+,80000-90000,2
200,123637,0,2,50000-60000,1
200,123898,0,2,20000-30000,1
200,124445,0,3,70000-80000,2
200,124463,0,1,<=0,1
200,124463,1,1,<=0,1
200,124463,2,1,<=0,1
200,127258,0,3,90000-100000,2
200,129617,0,1,<=0,1
200,129617,1,1,<=0,1
200,129950,0,3,<=0,3
200,130242,0,2,<=0,1
200,131853,0,1,<=0,0
200,133002,0,1,<=0,2
200,139920,0,3,100000+,6
200,144453,0,2,100000+,2
200,146412,0,1,<=0,1
200,148513,0,1,<=0,1
200,148513,1,1,<=0,2
200,153452,0,1,<=0,1
200,155405,0,2,100000+,0
200,156136,0,1,<=0,2
200,156136,1,1,<=0,1
200,160877,0,2,80000-90000,3
200,161490,0,2,<=0,2
200,166996,0,2,70000-80000,1
200,166996,1,2,100000+,2
200,168614,0,2,<=0,2
200,172351,0,2,80000-90000,2
200,181028,0,1,<=0,1
200,181028,1,1,<=0,3
200,181028,2,1,<=0,1
200,181028,3,1,<=0,0
200,182464,0,1,<=0,0
200,184841,0,2,<=0,1
200,184841,1,2,60000-70000,4
200,184841,2,2,100000+,2
200,186167,0,2,40000-50000,2
200,186167,1,2,40000-50000,2
200,187735,0,1,<=0,1
200,191073,0,1,<=0,1
200,191073,1,1,<=0,0
200,191073,2,1,<=0,1
200,191073,3,1,<=0,1
200,191073,4,1,<=0,1
200,191528,0,3,60000-70000,2
200,193749,0,2,70000-80000,2
200,196691,0,2,30000-40000,0
200,198515,0,3,100000+,2
200,199107,0,1,<=0,1
200,199107,1,1,<=0,1
200,199107,2,1,<=0,4
200,203643,0,3,<=0,2
200,204862,0,1,<=0,1
200,204862,1,1,<=0,2
200,208427,0,1,<=0,1
200,209408,0,1,<=0,1
200,209408,1,1,<=0,1
200,216007,0,1,<=0,1
200,216007,1,1,<=0,1
200,216225,0,4+,100000+,3
200,221361,0,4+,10000-20000,2
200,224039,0,2,60000-70000,2
200,225487,0,2,100000+,2
200,227059,0,2,100000+,2
200,229382,0,1,<=0,1
200,229382,1,1,<=0,1
200,229382,2,1,<=0,1
200,229382,3,1,<=0,0
200,236622,0,1,<=0,0
200,236622,1,1,<=0,1
200,241143,0,2,40000-50000,1
200,241143,1,2,100000+,1
200,242704,0,2,30000-40000,2
200,243207,0,3,<=0,2
200,244732,0,2,70000-80000,1
200,246096,0,2,20000-30000,2
200,247028,0,2,70000-80000,1
200,247683,0,1,<=0,0
200,248999,0,4+,40000-50000,3
200,249365,0,1,<=0,1
200,249887,0,1,<=0,1
200,252645,0,1,<=0,1
200,252645,1,1,<=0,1
200,254904,0,2,<=0,2
200,255555,0,1,<=0,2
200,255555,1,1,<=0,1
200,255555,2,1,<=0,0
200,255860,0,1,<=0,1
200,263931,0,3,100000+,2
200,270215,0,2,<=0,1
200,272665,0,1,<=0,0
200,281618,0,1,<=0,1
200,282514,0,1,<=0,1
200,282514,1,1,<=0,2
200,282559,0,2,30000-40000,2
200,282559,1,2,100000+,1
200,290122,0,3,100000+,3
200,294231,0,1,<=0,1
200,294231,1,1,<=0,1
200,298154,0,2,<=0,2
200,305981,0,1,<=0,1
200,308544,0,1,<=0,2
200,316863,0,1,<=0,1
200,317190,0,3,70000-80000,5
200,317190,1,3,10000-20000,3
200,319878,0,2,<=0,1
200,319878,1,2,100000+,2
200,319878,2,2,<=0,1
200,320216,0,1,<=0,1
200,321561,0,1,<=0,1
200,321844,0,3,100000+,4
200,329100,0,3,100000+,3
200,329100,1,3,100000+,2
200,329100,2,3,<=0,3
200,331848,0,3,60000-70000,2
200,337716,0,1,<=0,1
200,338729,0,4+,100000+,2
200,340363,0,1,<=0,1
200,340363,1,1,<=0,0
200,342884,0,2,0-10000,2
200,342898,0,1,<=0,1
200,342898,1,1,<=0,0
200,342898,2,1,<=0,1
200,342898,3,1,<=0,1
200,342898,4,1,<=0,1
200,353200,0,1,<=0,0
200,353286,0,3,100000+,1
200,353998,0,2,90000-100000,2
200,353998,1,2,20000-30000,2
200,359793,0,4+,50000-60000,3
200,360543,0,1,<=0,2
200,360543,1,1,<=0,1
200,360543,2,1,<=0,1
200,360543,3,1,<=0,1
200,363520,0,4+,100000+,1
200,365933,0,2,70000-80000,3
200,366032,0,3,100000+,3
200,367122,0,2,100000+,1
200,367423,0,2,<=0,0
200,372621,0,4+,80000-90000,5
200,381196,0,2,60000-70000,1
200,383209,0,1,<=0,1
200,392051,0,1,<=0,2
200,397081,0,3,100000+,3
