household_id,building_id,tract,serial_number,repeat_index,persons,income,num_vehicles
1,100001,200,3705,0,4,88623,4
2,100002,200,3960,0,2,22140,2
3,100003,200,11119,0,2,89712,2
4,100004,200,13619,0,2,100001,0
5,100005,200,15489,0,2,2375,2
6,100006,200,17400,0,1,8991,0
7,100007,200,18713,0,2,16313,2
8,100008,200,18713,1,2,24885,1
9,100009,200,18713,2,2,10918,2
10,100010,200,24920,0,1,34849,1
11,100011,200,27600,0,2,100001,2
12,100012,200,27674,0,2,100001,4
13,100013,200,28752,0,2,100001,2
14,100014,200,29917,0,1,26449,1
15,100015,200,30428,0,1,12647,1
16,100016,200,33253,0,1,13312,1
17,100017,200,33684,0,1,68527,0
18,100018,200,39253,0,4,94942,3
19,100019,200,41528,0,3,79152,3
20,100020,200,41617,0,1,9884,1
21,100021,200,44028,0,1,100001,1
22,100022,200,44769,0,2,15966,0
23,100023,200,45608,0,1,21198,2
24,100024,200,48058,0,3,40378,1
25,100025,200,49324,0,1,2088,1
26,100026,200,58144,0,2,61798,2
27,100027,200,58288,0,1,4206,1
28,100028,200,63186,0,2,22301,1
29,100029,200,69357,0,1,32695,4
30,100030,200,71780,0,2,3839,2
31,100031,200,71943,0,1,8740,1
32,100032,200,75688,0,1,100001,1
33,100033,200,75688,1,1,18929,0
34,100034,200,76474,0,2,26149,0
35,100035,200,79098,0,3,11395,3
36,100036,200,79098,1,3,77345,0
37,100037,200,79098,2,3,59816,1
38,100038,200,82187,0,2,100001,2
39,100039,200,85413,0,2,91763,2
40,100040,200,85698,0,2,100001,1
41,100041,200,88582,0,2,25409,2
42,100042,200,88891,0,4,38240,1
43,100043,200,90730,0,3,30672,3
44,100044,200,91412,0,1,11644,1
45,100045,200,95768,0,1,15476,1
46,100046,200,98721,0,1,26269,1
47,100047,200,100774,0,3,22918,2
48,100048,200,101912,0,2,18133,3
49,100049,200,105896,0,2,29590,1
50,100050,200,113459,0,1,28990,1
51,100051,200,114887,0,1,30101,1
52,100052,200,115416,0,1,58425,2
53,100053,200,115416,1,1,53127,0
54,100054,200,115416,2,1,16477,1
55,100055,200,122186,0,3,100001,1
56,100056,200,122836,0,2,60044,2
57,100057,200,126490,0,2,14044,1
58,100058,200,127636,0,2,36826,2
59,100059,200,129622,0,1,39386,1
60,100060,200,129622,1,1,4565,1
61,100061,200,132389,0,2,5997,2
62,100062,200,132569,0,2,21008,1
63,100063,200,132569,1,2,13860,2
64,100064,200,134449,0,1,26269,1
65,100065,200,135392,0,2,57732,1
66,100066,200,136370,0,3,66190,3
67,100067,200,138674,0,2,21689,2
68,100068,200,138674,1,2,37059,3
69,100069,200,139217,0,4,29514,2
70,100070,200,139676,0,2,50135,3
71,100071,200,140372,0,3,100001,1
72,100072,200,140487,0,2,63724,2
73,100073,200,141161,0,2,16676,3
74,100074,200,149855,0,3,52450,2
75,100075,200,149937,0,2,10665,3
76,100076,200,151093,0,2,85163,2
77,100077,200,155503,0,2,11522,1
78,100078,200,159940,0,2,28566,2
79,100079,200,159940,1,2,100001,1
80,100080,200,164274,0,2,23440,2
81,100081,200,165159,0,3,74200,1
82,100082,200,166943,0,1,28846,1
83,100083,200,166991,0,2,34724,1
84,100084,200,167362,0,2,12722,2
85,100085,200,168120,0,2,18736,2
86,100086,200,168774,0,4,36734,2
87,100087,200,175653,0,1,14722,0
88,100088,200,179281,0,2,39417,2
89,100089,200,179532,0,1,100001,1
90,100090,200,180124,0,1,26269,1
91,100091,200,181550,0,1,3946,1
92,100092,200,182947,0,1,47583,0
93,100093,200,186759,0,2,64310,0
94,100094,200,193478,0,1,83363,1
95,100095,200,195869,0,1,4154,1
96,100096,200,198680,0,4,100001,3
97,100097,200,201525,0,1,20534,1
98,100098,200,207623,0,1,18303,1
99,100099,200,210453,0,2,69530,2
100,100100,200,214400,0,1,85162,2
101,100101,200,218160,0,1,35919,1
