Hhsize_tracts,h1,h2,h3,h4
200,28432,38182,27371,32750
301,4478,7244,7310,10849
700,23851,51712,41845,37344
800,45438,49590,45417,46667
902,42418,60096,67639,69063
1000,34875,67977,88819,70179
1100,51000,73988,84531,104659
1201,27380,59844,39628,61167
1204,47083,94318,127135,195323
1206,52750,101875,95625,138750
1301,31150,88466,87174,95417
1302,35852,97431,101196,106750
1400,25179,49732,103352,90909
5300,8531,34375,35732,30446
10400,32212,70121,65357,90104
10500,34318,67083,87159,82054
10601,30341,86394,92353,106324
10603,25799,74274,56333,106583
10604,27143,80455,99688,52019
10700,31475,70801,85769,85978
10800,29554,60938,85625,81667
10900,31860,76250,75625,98661
11100,20115,31850,15109,17813
