all_tracts,Income
"Census Tract 2, Champaign County, Illinois",26269
"Census Tract 3.01, Champaign County, Illinois",10696
"Census Tract 3.02, Champaign County, Illinois",15442
"Census Tract 4.01, Champaign County, Illinois",10217
"Census Tract 4.02, Champaign County, Illinois",10475
"Census Tract 5, Champaign County, Illinois",41194
"Census Tract 7, Champaign County, Illinois",28983
"Census Tract 8, Champaign County, Illinois",45026
"Census Tract 9.01, Champaign County, Illinois",28750
"Census Tract 9.02, Champaign County, Illinois",64947
"Census Tract 10, Champaign County, Illinois",27190
"Census Tract 11, Champaign County, Illinois",68375
"Census Tract 12.01, Champaign County, Illinois",47466
"Census Tract 12.03, Champaign County, Illinois",71479
"Census Tract 12.04, Champaign County, Illinois",109940
"Census Tract 12.05, Champaign County, Illinois",101898
"Census Tract 12.06, Champaign County, Illinois",94545
"Census Tract 13.01, Champaign County, Illinois",57892
"Census Tract 13.02, Champaign County, Illinois",68247
"Census Tract 14, Champaign County, Illinois",51875
"Census Tract 53, Champaign County, Illinois",22664
"Census Tract 54.01, Champaign County, Illinois",35412
"Census Tract 54.02, Champaign County, Illinois",52193
"Census Tract 55, Champaign County, Illinois",43265
"Census Tract 56, Champaign County, Illinois",41250
"Census Tract 57.01, Champaign County, Illinois",53482
"Census Tract 57.02, Champaign County, Illinois",46107
"Census Tract 58, Champaign County, Illinois",52031
"Census Tract 59, Champaign County, Illinois",11205
"Census Tract 60, Champaign County, Illinois",17696
"Census Tract 101, Champaign County, Illinois",33701
"Census Tract 102.04, Champaign County, Illinois",41384
"Census Tract 103, Champaign County, Illinois",31854
"Census Tract 104, Champaign County, Illinois",51023
"Census Tract 105, Champaign County, Illinois",66569
"Census Tract 106.01, Champaign County, Illinois",68951
"Census Tract 106.03, Champaign County, Illinois",67621
"Census Tract 106.04, Champaign County, Illinois",56389
"Census Tract 107, Champaign County, Illinois",68544
"Census Tract 108, Champaign County, Illinois",61512
"Census Tract 109, Champaign County, Illinois",62175
"Census Tract 110, Champaign County, Illinois",27874
"Census Tract 111, Champaign County, Illinois",20077
