,tract,serial_number,repeat_index,num_people,household_income,num_vehicles
0,200,3474,0,1,<=0,1.0
1,200,5235,0,3,100000+,2.0
2,200,5235,1,3,80000-90000,2.0
3,200,9650,0,3,100000+,3.0
4,200,11823,0,4+,100000+,1.0
5,200,12471,0,2,30000-40000,1.0
6,200,13236,0,3,<=0,2.0
7,200,14113,0,1,<=0,1.0
8,200,15838,0,2,100000+,1.0
9,200,17212,0,1,<=0,1.0
10,200,17569,0,1,<=0,1.0
11,200,17569,1,1,<=0,1.0
12,200,17569,2,1,<=0,0.0
13,200,19392,0,3,100000+,6.0
14,200,19641,0,1,<=0,2.0
15,200,19727,0,1,<=0,2.0
16,200,19727,1,1,<=0,0.0
17,200,21395,0,3,<=0,6.0
18,200,25419,0,4+,70000-80000,4.0
19,200,25494,0,2,60000-70000,2.0
20,200,34086,0,2,<=0,3.0
21,200,34548,0,1,<=0,1.0
22,200,37783,0,4+,10000-20000,2.0
23,200,55887,0,3,100000+,3.0
24,200,58854,0,1,<=0,1.0
25,200,60246,0,1,<=0,1.0
26,200,68055,0,1,<=0,0.0
27,200,69334,0,1,<=0,1.0
28,200,74086,0,2,20000-30000,2.0
29,200,89938,0,2,20000-30000,1.0
30,200,94192,0,3,40000-50000,1.0
31,200,100720,0,2,100000+,3.0
32,200,101072,0,3,100000+,3.0
33,200,106850,0,1,<=0,1.0
34,200,106850,1,1,<=0,1.0
35,200,108570,0,1,<=0,1.0
36,200,108713,0,1,<=0,2.0
37,200,108713,1,1,<=0,1.0
38,200,108713,2,1,<=0,1.0
39,200,108713,3,1,<=0,1.0
40,200,111438,0,3,30000-40000,2.0
41,200,114403,0,2,<=0,1.0
42,200,117418,0,1,<=0,1.0
43,200,119550,0,4+,80000-90000,2.0
44,200,123637,0,2,50000-60000,1.0
45,200,123898,0,2,20000-30000,1.0
46,200,124445,0,3,70000-80000,2.0
47,200,124463,0,1,<=0,1.0
48,200,124463,1,1,<=0,1.0
49,200,124463,2,1,<=0,1.0
50,200,127258,0,3,90000-100000,2.0
51,200,129617,0,1,<=0,1.0
52,200,129617,1,1,<=0,1.0
53,200,129950,0,3,<=0,3.0
54,200,130242,0,2,<=0,1.0
55,200,131853,0,1,<=0,0.0
56,200,133002,0,1,<=0,2.0
57,200,139920,0,3,100000+,6.0
58,200,144453,0,2,100000+,2.0
59,200,146412,0,1,<=0,1.0
60,200,148513,0,1,<=0,1.0
61,200,148513,1,1,<=0,2.0
62,200,153452,0,1,<=0,1.0
63,200,155405,0,2,100000+,0.0
64,200,156136,0,1,<=0,2.0
65,200,156136,1,1,<=0,1.0
66,200,160877,0,2,80000-90000,3.0
67,200,161490,0,2,<=0,2.0
68,200,166996,0,2,70000-80000,1.0
69,200,166996,1,2,100000+,2.0
70,200,168614,0,2,<=0,2.0
71,200,172351,0,2,80000-90000,2.0
72,200,181028,0,1,<=0,1.0
73,200,181028,1,1,<=0,3.0
74,200,181028,2,1,<=0,1.0
75,200,181028,3,1,<=0,0.0
76,200,182464,0,1,<=0,0.0
77,200,184841,0,2,<=0,1.0
78,200,184841,1,2,60000-70000,4.0
79,200,184841,2,2,100000+,2.0
80,200,186167,0,2,40000-50000,2.0
81,200,186167,1,2,40000-50000,2.0
82,200,187735,0,1,<=0,1.0
83,200,191073,0,1,<=0,1.0
84,200,191073,1,1,<=0,0.0
85,200,191073,2,1,<=0,1.0
86,200,191073,3,1,<=0,1.0
87,200,191073,4,1,<=0,1.0
88,200,191528,0,3,60000-70000,2.0
89,200,193749,0,2,70000-80000,2.0
90,200,196691,0,2,30000-40000,0.0
91,200,198515,0,3,100000+,2.0
92,200,199107,0,1,<=0,1.0
93,200,199107,1,1,<=0,1.0
94,200,199107,2,1,<=0,4.0
95,200,203643,0,3,<=0,2.0
96,200,204862,0,1,<=0,1.0
97,200,204862,1,1,<=0,2.0
98,200,208427,0,1,<=0,1.0
99,200,209408,0,1,<=0,1.0
100,200,209408,1,1,<=0,1.0
101,200,216007,0,1,<=0,1.0
102,200,216007,1,1,<=0,1.0
103,200,216225,0,4+,100000+,3.0
104,200,221361,0,4+,10000-20000,2.0
105,200,224039,0,2,60000-70000,2.0
106,200,225487,0,2,100000+,2.0
107,200,227059,0,2,100000+,2.0
108,200,229382,0,1,<=0,1.0
109,200,229382,1,1,<=0,1.0
110,200,229382,2,1,<=0,1.0
111,200,229382,3,1,<=0,0.0
112,200,236622,0,1,<=0,0.0
113,200,236622,1,1,<=0,1.0
114,200,241143,0,2,40000-50000,1.0
115,200,241143,1,2,100000+,1.0
116,200,242704,0,2,30000-40000,2.0
117,200,243207,0,3,<=0,2.0
118,200,244732,0,2,70000-80000,1.0
119,200,246096,0,2,20000-30000,2.0
120,200,247028,0,2,70000-80000,1.0
121,200,247683,0,1,<=0,0.0
122,200,248999,0,4+,40000-50000,3.0
123,200,249365,0,1,<=0,1.0
124,200,249887,0,1,<=0,1.0
125,200,252645,0,1,<=0,1.0
126,200,252645,1,1,<=0,1.0
127,200,254904,0,2,<=0,2.0
128,200,255555,0,1,<=0,2.0
129,200,255555,1,1,<=0,1.0
130,200,255555,2,1,<=0,0.0
131,200,255860,0,1,<=0,1.0
132,200,263931,0,3,100000+,2.0
133,200,270215,0,2,<=0,1.0
134,200,272665,0,1,<=0,0.0
135,200,281618,0,1,<=0,1.0
136,200,282514,0,1,<=0,1.0
137,200,282514,1,1,<=0,2.0
138,200,282559,0,2,30000-40000,2.0
139,200,282559,1,2,100000+,1.0
140,200,290122,0,3,100000+,3.0
141,200,294231,0,1,<=0,1.0
142,200,294231,1,1,<=0,1.0
143,200,298154,0,2,<=0,2.0
144,200,305981,0,1,<=0,1.0
145,200,308544,0,1,<=0,2.0
146,200,316863,0,1,<=0,1.0
147,200,317190,0,3,70000-80000,5.0
148,200,317190,1,3,10000-20000,3.0
149,200,319878,0,2,<=0,1.0
150,200,319878,1,2,100000+,2.0
151,200,319878,2,2,<=0,1.0
152,200,320216,0,1,<=0,1.0
153,200,321561,0,1,<=0,1.0
154,200,321844,0,3,100000+,4.0
155,200,329100,0,3,100000+,3.0
156,200,329100,1,3,100000+,2.0
157,200,329100,2,3,<=0,3.0
158,200,331848,0,3,60000-70000,2.0
159,200,337716,0,1,<=0,1.0
160,200,338729,0,4+,100000+,2.0
161,200,340363,0,1,<=0,1.0
162,200,340363,1,1,<=0,0.0
163,200,342884,0,2,0-10000,2.0
164,200,342898,0,1,<=0,1.0
165,200,342898,1,1,<=0,0.0
166,200,342898,2,1,<=0,1.0
