household_id,building_id,tract,serial_number,repeat_index,persons,income,num_vehicles,,,,
0,57580,200,3474,0,1,<=40000,0,,,,
1,30428,200,5235,0,3,40000+,2,,,,
2,70405,200,5235,1,3,40000+,2,,,,
3,59971,200,9650,0,3,40000+,3,,,,
4,62799,200,11823,0,4+,<=40000,1,,,,
5,20258,200,12471,0,2,40000+,1,,,,
6,33246,200,13236,0,3,40000+,4,,,,
7,73909,200,14113,0,1,<=40000,1,,,,
8,31938,200,15838,0,2,40000+,2,,,,
9,6011,200,17212,0,1,<=40000,1,,,,
10,30043,200,17569,0,1,<=40000,1,,,,
11,8482,200,17569,1,1,<=40000,1,,,,
12,56005,200,17569,2,1,<=40000,0,,,,
13,75015,200,19392,0,3,40000+,2,,,,
14,15079,200,19641,0,1,<=40000,0,,,,
15,33635,200,19727,0,1,<=40000,1,,,,
16,1903,200,19727,1,1,<=40000,0,,,,
17,40560,200,21395,0,3,<=40000,3,,,,
18,56731,200,25419,0,4+,40000+,2,,,,
19,70373,200,25494,0,2,40000+,2,,,,
20,64759,200,34086,0,2,40000+,2,,,,
21,32366,200,34548,0,1,<=40000,1,,,,
22,57129,200,37783,0,4+,40000+,3,,,,
23,2747,200,55887,0,3,<=40000,4,,,,
24,53314,200,58854,0,1,<=40000,1,,,,
25,77912,200,60246,0,1,<=40000,1,,,,
26,144,200,68055,0,1,<=40000,1,,,,
27,14507,200,69334,0,1,<=40000,0,,,,
28,58667,200,74086,0,2,40000+,2,,,,
29,10501,200,89938,0,2,40000+,2,,,,
30,47650,200,94192,0,3,40000+,2,,,,
31,7139,200,100720,0,2,<=40000,0,,,,
32,46377,200,101072,0,3,40000+,3,,,,
33,77376,200,106850,0,1,<=40000,1,,,,
34,75309,200,106850,1,1,<=40000,1,,,,
35,41137,200,108570,0,1,<=40000,2,,,,
36,33922,200,108713,0,1,<=40000,1,,,,
37,19140,200,108713,1,1,<=40000,1,,,,
38,49833,200,108713,2,1,<=40000,1,,,,
39,70873,200,108713,3,1,<=40000,1,,,,
40,35367,200,111438,0,3,40000+,6,,,,
41,14578,200,114403,0,2,<=40000,2,,,,
42,74397,200,117418,0,1,<=40000,1,,,,
43,37571,200,119550,0,4+,40000+,1,,,,
44,7488,200,123637,0,2,40000+,2,,,,
45,44324,200,123898,0,2,<=40000,1,,,,
46,52617,200,124445,0,3,<=40000,3,,,,
47,35463,200,124463,0,1,<=40000,1,,,,
48,53665,200,124463,1,1,<=40000,1,,,,
49,70994,200,124463,2,1,<=40000,1,,,,
50,8811,200,127258,0,3,40000+,3,,,,
51,50851,200,129617,0,1,<=40000,1,,,,
52,20535,200,129617,1,1,<=40000,1,,,,
53,65333,200,129950,0,3,40000+,2,,,,
54,59657,200,130242,0,2,40000+,3,,,,
55,6723,200,131853,0,1,<=40000,2,,,,
56,26667,200,133002,0,1,<=40000,4,,,,
57,47037,200,139920,0,3,<=40000,1,,,,
58,21425,200,144453,0,2,40000+,2,,,,
59,8913,200,146412,0,1,<=40000,1,,,,
60,16430,200,148513,0,1,<=40000,2,,,,
61,6628,200,148513,1,1,<=40000,0,,,,
