id,name,max_height,city,max_far,coverage,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14
20223,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN-MB-RA,0.0,101,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f
2,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT-OS,0.0,101,0.0,,f,f,f,f,f,f,f,f,f,f,f,f,f,f
3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT-85-X,85.0,101,3.59999990463,,f,f,f,f,f,f,f,f,f,f,f,f,f,f
4,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT-68-X,68.0,101,3.59999990463,,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1,PUBLIC-,0.0,101,0.0,,f,f,f,f,f,f,f,f,f,f,f,f,f,f
20541,"RESIDENTIAL- HOUSE, THREE FAMILY-45-X",45.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20542,"RESIDENTIAL- HOUSE, THREE FAMILY-48-X",48.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
101143,SOUTH OF MARKET RESIDENTIAL ENCLAVE-40-X,40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101150,SOUTH OF MARKET RESIDENTIAL ENCLAVE-45-X,45.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101152,RINCON HILL DOWNTOWN RESIDENTIAL-85/200-R,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101154,SOUTH OF MARKET RESIDENTIAL ENCLAVE-50-X,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101156,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101157,SOUTH OF MARKET RESIDENTIAL ENCLAVE-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101158,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101159,SOUTH OF MARKET RESIDENTIAL ENCLAVE-85-X,85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101160,SOMA SERVICE/ SECONDARY/ OFFICE-45-X,45.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
20543,"RESIDENTIAL- HOUSE, THREE FAMILY-50-X",50.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20544,"RESIDENTIAL- HOUSE, THREE FAMILY-55-X",55.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20545,"RESIDENTIAL- HOUSE, THREE FAMILY-65-A",65.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20546,"RESIDENTIAL- HOUSE, THREE FAMILY-65-A-1",65.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20547,"RESIDENTIAL- HOUSE, THREE FAMILY-65-N",65.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
20548,"RESIDENTIAL- HOUSE, THREE FAMILY-65-X",65.0,101,1.79999995232,,f,t,t,f,t,t,f,f,f,f,f,f,f,f
101161,RINCON HILL DOWNTOWN RESIDENTIAL-105-F,105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101162,"RESIDENTIAL- HOUSE, TWO FAMILY-105-D",105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101163,SOMA SERVICE/ SECONDARY/ OFFICE-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107502,"RESIDENTIAL- HOUSE, ONE FAMILY-25-X",25.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
