parcel,zoning
4324,20495
824,20505
233,20521
4226,20521
4356,20521
5144,20495
538,20521
540,20521
36045,20505
4746,20521
44152,20518
4785,20521
952,20521
969,20521
4249,20505
5211,20505
1375,20540
5120,20521
1473,20540
5386,20495
1757,20540
1324,20521
1931,20540
2157,20521
2423,20521
2545,20521
2686,20521
1793,20495
15993,20495
12045,20495
16111,20495
19994,20495
16022,20495
20072,20495
5109,20563
36554,20505
36696,20505
3161,20521
3298,20521
40192,20495
44223,20495
40468,20505
52463,20521
48126,20495
36948,20521
60109,20495
37021,20521
3361,20521
5514,20495
3515,20521
3747,20505
3761,20505
3573,20521
3720,20521
16329,20521
3831,20505
28105,20495
37136,20521
36976,20502
36996,20502
37427,20521
36368,20495
60212,20495
28191,20495
28192,20495
8394,20495
16751,20521
40922,20505
37610,20521
37557,20505
3132,20495
15941,20505
16519,20495
16546,20495
16822,20521
56244,20495
6058,20521
52557,20521
52549,20495
28282,20495
28340,20495
8060,20256
8468,20521
8676,20521
40980,20505
12520,20495
3652,20495
56387,20495
38095,20505
12579,20495
53082,20505
53086,20505
56412,20495
24286,20495
64758,20521
1218,20543
3866,20246
2016,20543
1895,20286
53167,20505
3845,20505
64944,20282
65526,20348
65134,20540
66074,20563
65264,20540
65807,20521
65344,20540
65601,20629
37750,20495
37754,20495
8900,20521
64301,20495
6123,20495
52955,20495
60563,20495
37893,20495
37957,20495
9151,20521
20831,20495
6268,20495
56631,20495
38196,20495
41306,20495
6348,20495
6373,20495
66285,20540
12731,20495
13127,20521
32046,20502
44875,20505
41376,20495
6475,20521
4218,20246
17096,20495
17176,20495
9135,20495
41425,20495
20768,20505
20771,20505
20954,20495
9251,20495
12927,20495
66398,20521
66437,20521
66495,20540
65790,20248
21085,20495
66166,20632
65584,20331
66711,20623
66738,20540
65791,20331
66824,20623
6599,20495
9456,20521
13137,20521
13231,20521
66788,20632
17624,20505
32787,20505
33065,20505
21219,20495
21242,20495
33501,20521
33618,20521
33637,20521
33768,20521
33830,20521
33854,20521
13158,20495
24612,20495
24634,20495
60933,20495
7305,20521
60944,20495
32407,20495
38135,20505
24655,20495
65241,20349
67327,20623
28556,20495
67370,20664
7024,20289
7349,20521
5971,20563
7359,20521
7390,20521
6545,20563
6548,20563
7453,20521
7483,20521
7656,20521
13250,20495
13266,20495
34190,20505
17285,20521
21521,20495
66745,20355
66917,20355
33666,20505
34075,20505
32962,20563
33566,20563
33643,20563
34517,20505
34554,20505
21660,20495
34618,20586
34871,20505
34753,20521
17646,20495
9657,20521
9708,20521
28760,20495
28771,20495
9891,20521
7343,20289
7378,20527
68096,20631
24739,20495
22021,20505
32817,20495
66432,20630
67915,20521
67938,20521
67959,20540
71906,20521
71939,20540
67004,20365
17765,20495
41841,20504
28839,20495
44845,20495
42145,20505
61185,20505
13463,20495
53254,20495
57282,20495
42041,20493
7874,20521
68076,20521
61072,20495
9623,20495
35034,20521
35112,20521
35114,20521
35159,20521
35497,20505
35238,20521
35341,20521
35454,20521
71917,20563
7409,20495
9697,20495
13629,20495
41932,20495
22349,20505
61221,20505
61603,20505
9756,20495
9796,20495
9848,20495
72529,20521
38410,20505
68068,20495
38485,20505
38533,20505
38574,20505
18046,20495
35807,20502
18110,20495
72597,20521
68463,20521
69298,20427
7515,20563
68770,20521
68892,20521
22307,20495
61699,20505
61790,20505
68346,20332
68365,20495
68437,20495
9920,20521
14097,20495
35231,20495
53295,20495
53311,20495
53323,20495
10119,20521
10122,20521
35168,20509
34643,20540
75965,20521
76461,20573
76090,20540
75992,20521
76732,20573
76120,20521
76854,20521
76996,20521
14245,20495
14255,20495
22271,20521
68410,20634
68916,20541
69240,20669
61340,20495
69821,20277
73617,20434
67772,20430
72441,20669
70042,20540
70015,20563
73348,20256
74101,20669
73172,20671
73331,20540
73350,20540
73419,20540
73299,20521
73320,20521
74598,20540
74607,20540
61344,20495
74627,20521
74732,20521
74936,20521
74995,20521
75556,20521
24836,20495
75384,20521
75388,20521
75573,20521
75633,20521
22450,20495
75800,20521
72667,20495
75162,20540
70851,20521
42488,20495
42559,20495
38946,20505
61555,20504
62231,20505
62282,20505
39002,20495
71310,20521
77067,20521
77279,20521
76615,20563
42916,20505
61810,20495
18458,20495
10151,20495
29640,20495
72797,20495
42585,20495
42646,20495
22764,20495
